"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
2639;"Lieferung und Montage MASTER SDW-TG 100W/825";"Stück";2639
264;"Dulux EL, 11W, E27";"Stück";"LD11"
2640;"Lieferung und Montage EVG T5 21W Osram";"Stück";2640
2641;"Lieferung und Montage";"Stück";2641
2645;"Lieferung und Montage einer Netzwerkdoppeldose";"Stück";2645
2646;"Öffnen und fachgerechtes Verschließen Brandschott";"Stück";2646
2647;"Liefern und Verlegen Netzwerkkabel duplex Cat 7";"Meter";2647
2648;"Liefern und Verlegen Zuleitung 3x2,5 qmm NYM-Leitung";"Meter";2648
2649;"Lieferung und Montage 2-fach FR Steckdose a.P.";"Stück";2649
265;"Dulux EL, 15W, E27";"Stück";"LD15"
2650;"Lieferung und Anschluss eines Erdkabels 5x2,5 NYY";"Stück";2650
2651;"Lieferung und Monatge eines Bewegungsmelders außen";"Stück";2651
2652;"Lieferung und Montage einer zentralen Jalousiesteuerung";"Stück";2652
2653;"Lieferung und Montage 1x Doppel-Netzwerkdose + 1x Doppelsteckdose";"Stück";2653
2654;"Aufschlag für das Verlegen 1x duplex Netzwerkkabel in der SB-Halle";"Stück";2654
2655;"Aufschlag für das Verlegen 1x 3x2,5qmm NYM Leitung in der SB-Halle";"Stück";2655
2656;"Abzug für Netzwerkdoppeldosen welche umgelgt wurden und dadurch nicht";"Stück";2656
266;"Dulux EL, 20W, E27";"Stück";"LD20"
267;"Dulux EL, 7W, E27";"Stück";"LD7"
268;"Dulux EL, 9W, E27";"Stück";"LD9"
269;"Dulux-Reflek.-Sparlampen bis 20W";"Stück";"LDF"
2692;"VGA Kabel 3m";"Stück";2692
2697;"jährliche Wartungspauschale Hausalarmanlage:";"Stück";2697
2699;"BNC Stecker";"Stück";2699
270;"Dulux-D-Steck, 10W";"Stück";"LDS10"
271;"Dulux-D-Steck, 13W";"Stück";"LDS13"
2712;"Buffalo Linkstation Quad 2.0TB";"Stück";2712
272;"Dulux-D-Steck, 18W";"Stück";"LDS18"
273;"Dulux-D-Steck, 26W";"Stück";"LDS26"
2736;"Lieferung und Montage Spots für";"Stück";2736
274;"Dulux-L-Steck 36W/840";"Stück";"LDS36"
2740;"Abgeltung für die Übernahme von IT-Kunden";"Stück";2740
2741;"SD-Sätze von Pinguin Druck 500 Stück ";"Stück";2741
2742;"Pauschale für Büromaterial";"Stück";2742
2743;"AP Rahmen";"Stück";2743
2744;"Montage Netzwerkschrank, Auflegen von 4 Datendosen (einfach) sowie des Patchpanels";"Stück";2744
275;"Dulux-S-Steck, 7 - 11W";"Stück";"LDS711"
2750;"Versand + Verpackungspauschale";"Stück";2750
2751;"Bachmann Steckdosenleiste Aluminium-Profil für Video-Wand";"Stück";2751
